Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 303900  Y 141900
X 344000  Y 141800
X 354600  Y 149300
X 364700  Y 148800
X 384900  Y 137300
X 404800  Y 130900
X 407200  Y 128400
X 407300  Y 123500
X 408500  Y 119800
X 514900  Y 115500
X 515000  Y 136600
X 517300  Y 155100
X 519000  Y 136600
X 519100  Y 113900
X 543300  Y 145400
X 548500  Y 145400
X 622800  Y 161000
X 628200  Y 160900
X 649800  Y 187600
X 645200  Y 176100
X 628200  Y 168900
X 622800  Y 168900
X 545400  Y 234100
X 541300  Y 234300
X 534100  Y 226700
X 530600  Y 226700
X 509700  Y 228100
X 469500  Y 219900
X 465400  Y 219700
X 464400  Y 222900
X 460900  Y 224700
X 445500  Y 213900
X 441300  Y 212900
X 439600  Y 209900
X 437000  Y 207400
X 435100  Y 204500
X 433700  Y 201300
X 326600  Y 238200
X 323900  Y 236400
X 321100  Y 234700
X 318200  Y 233000
X 318000  Y 229800
X 329700  Y 239400
X 332500  Y 241000
X 335700  Y 242700
X 523400  Y 321300
X 574600  Y 321400
X 574700  Y 293100
X 583700  Y 322000
X 611000  Y 274900
X 611000  Y 282500
X 634900  Y 317200
X 638800  Y 300400
X 639500  Y 371500
X 639400  Y 384000
X 602800  Y 383700
X 597800  Y 355100
X 583700  Y 366600
X 583200  Y 384800
X 579100  Y 366400
X 506100  Y 363100
X 503000  Y 358500
X 500500  Y 363100
X 498900  Y 358600
X 497600  Y 365600
X 495300  Y 360200
X 428400  Y 434500
X 430500  Y 437300
X 433600  Y 435600
X 436200  Y 432400
X 444900  Y 423800
X 445000  Y 428600
X 445000  Y 416800
X 445700  Y 405600
X 448000  Y 407900
X 448700  Y 430200
X 451500  Y 408000
X 453800  Y 405700
X 457300  Y 411800
X 461500  Y 405600
X 463700  Y 408000
X 467200  Y 408000
X 467400  Y 430100
X 469300  Y 405500
X 469700  Y 415800
X 471100  Y 397500
X 472500  Y 403600
X 479100  Y 405400
X 479100  Y 408900
X 481200  Y 437400
X 484800  Y 438200
X 505800  Y 407500
X 574700  Y 421500
X 619300  Y 409800
X 619300  Y 401800
X 638500  Y 427100
X 634600  Y 447000
X 583800  Y 449500
X 574800  Y 448800
X 525000  Y 485300
X 523400  Y 448600
X 488200  Y 466100
X 478100  Y 439200
X 474800  Y 440500
X 456600  Y 441900
X 430100  Y 466500
X 412000  Y 473300
X 307200  Y 504900
X 419000  Y 525300
X 428000  Y 526000
X 445500  Y 548300
X 450500  Y 550100
X 455500  Y 551600
X 460500  Y 553100
X 465500  Y 554700
X 470500  Y 556500
X 473200  Y 559900
X 473200  Y 553800
X 485400  Y 553800
X 637800  Y 608300
X 637800  Y 620200
X 605300  Y 637900
X 593900  Y 619400
X 593900  Y 591800
X 581800  Y 603200
X 572800  Y 603000
X 569500  Y 621300
X 532400  Y 635500
X 528200  Y 636500
X 524300  Y 636100
X 522900  Y 628900
X 438900  Y 630400
X 438900  Y 636400
X 431300  Y 636500
X 431200  Y 630300
X 107800  Y 710200
X 118600  Y 710100
X 398400  Y 651100
X 398400  Y 646300
X 420400  Y 650900
X 420500  Y 646100
X 434100  Y 711700
X 444000  Y 711700
X 454100  Y 711500
X 464400  Y 711500
X 474700  Y 711500
X 484700  Y 711500
X 495000  Y 711500
X 504800  Y 711600
X 571600  Y 679800
X 571600  Y 653700
X 579300  Y 705800
X 579300  Y 710800
X 581500  Y 680000
X 587200  Y 710800
X 587200  Y 705800
X 605300  Y 645700
X 634200  Y 678500
X 636100  Y 659300
X 658800  Y 739200
X 196600  Y 751200
X 118400  Y 742400
X 118400  Y 720800
X 118300  Y 731500
X 108000  Y 742500
X 108000  Y 731500
X 107800  Y 721000

Drill: .02  Tool: 2  Feed: 197  Speed: 550
X 113400  Y 129700
X 137700  Y 127100
X 544900  Y 167800
X 555200  Y 167800
X 563500  Y 152900
X 583000  Y 177700
X 583100  Y 156700
X 604000  Y 151800
X 604000  Y 183100
X 646200  Y 146200
X 628000  Y 278700
X 616700  Y 269800
X 604000  Y 204300
X 592300  Y 269700
X 581900  Y 204300
X 564500  Y 233200
X 562800  Y 279000
X 560000  Y 226700
X 556100  Y 263500
X 541500  Y 279000
X 541500  Y 269100
X 137400  Y 203100
X 119600  Y 206400
X 431500  Y 345000
X 477000  Y 342300
X 517800  Y 326500
X 539100  Y 326600
X 567200  Y 349300
X 567500  Y 304600
X 589000  Y 349300
X 589700  Y 304700
X 591500  Y 326600
X 613600  Y 326600
X 641500  Y 349500
X 642200  Y 304700
X 658500  Y 321300
X 658800  Y 299400
X 664200  Y 349600
X 664100  Y 371300
X 634600  Y 405600
X 634500  Y 396700
X 614400  Y 371600
X 600600  Y 396500
X 592400  Y 371300
X 571800  Y 405500
X 565400  Y 390100
X 550600  Y 406700
X 550500  Y 395500
X 541800  Y 371300
X 524400  Y 365700
X 523400  Y 376300
X 513600  Y 365600
X 496300  Y 372400
X 472300  Y 369300
X 462500  Y 369200
X 462400  Y 395000
X 453100  Y 394900
X 452500  Y 369200
X 442700  Y 369200
X 431600  Y 364000
X 439000  Y 446100
X 456800  Y 446200
X 469300  Y 424700
X 474700  Y 446200
X 481000  Y 430500
X 484300  Y 426700
X 506400  Y 426600
X 506400  Y 436300
X 523400  Y 459700
X 538900  Y 454200
X 567900  Y 432300
X 589800  Y 432200
X 591300  Y 454200
X 613100  Y 454200
X 642600  Y 432200
X 664800  Y 432200
X 664800  Y 454000
X 500400  Y 536800
X 494800  Y 464800
X 491500  Y 537100
X 474900  Y 466100
X 456800  Y 466100
X 440500  Y 527400
X 439000  Y 466000
X 433700  Y 527400
